email_index,priority,reasoning
1,1,"No actionable request, appears to be spam"
2,1,"Just a thank you note, no action required"
4,1,Informational reminder about a training workshop
5,2,Requires a response to discuss settlement implications
7,1,Promotional spam with no required action
8,1,"Informational newsletter, no action required"
9,1,"Informational email about meetings, no immediate action required"
10,1,"Just a clarification request, no urgent action needed"
12,1,Informational news with no required action
13,1,It's an informational newsletter with no required action
14,2,"User requests removal from mailing list, requires action but not urgent"
15,2,Requires response but not urgent
17,1,Informal comment with no required action
18,1,Informational forward with no clear action required
19,1,"Spam advertisement, no action required"
20,2,Needs a friendly reply but not urgent
21,1,"Provides info, no action required"
23,1,Promotional spam with no required action
24,1,Donation solicitation with no urgent action required
25,2,"User requests confirmation and document generation, needing a response but not urgent"
26,1,"Promotional event announcement, no action required"
27,1,Informational update with no immediate action required
28,2,Needs clarification response but not urgent
29,1,Informational note with no urgent action required
30,1,Informational update about job posting with no immediate action required
31,1,Informational newsletter with no required action
34,2,Requires action on confirmation format but not urgent
35,1,"Informational forward about a future event, no action required"
36,1,Informational newsletter with no actionable request
38,1,"Informational newsletter, no action required"
39,1,"No actionable request, appears to be spam"
40,1,Email contains only a brief comment with no actionable request
41,2,Request to remove a contact from mailing lists requires action but is not urgent
42,2,Needs a timely response about tomorrow's travel plans
43,2,Requires a prompt response to address unexpected weekend conflicts
44,1,"Thank you note, no action required"
45,1,Informational email with no action required
46,1,Informational thank-you email with no required action
48,2,Sender asks for a response but no urgency indicated
50,1,Simple confirmation with no further action required
51,1,"Promotional travel offer, no immediate action required"
52,2,Needs clarification on development fee with accountants
53,1,"No actionable request, informational only"
54,2,Requires action before the October 26 deadline
56,1,"Informational security update, no action required"
57,1,Informational update with no required action
59,1,"Casual inquiry about resume, no urgent action required"
60,1,"Promotional content, no action required"
61,1,Email contains only informational news with no required action
62,2,Scheduling availability requires a response but is not urgent
63,1,Informational forward with no required action
64,1,"Informational list of articles, no action required"
65,1,"Informational conference announcement, no action required"
66,2,Request for document requires a response and action
67,1,Acknowledgment with no action required
68,1,"Email confirms a scheduled meeting, no further action required"
69,1,Promotional conference announcement with no required action
70,1,"Spam advertisement, no action required"
71,1,"Promotional spam, no action required"
72,1,Informational announcement with no required action
73,1,Informational message with no action required
74,1,Informational email with no clear action required
75,2,Needs response to confirm meeting availability
76,1,Informational content with no actionable request
77,2,Follow-up email requires a response but is not urgent
78,1,The email only confirms availability and requires no further action
79,1,"Promotional marketing email, no action required"
80,1,"Informational newsletter, no action required"
81,2,"Needs response to coordinate a meeting, but not urgent"
83,1,Promotional spam with no required action
85,2,Requires user response but not urgent
86,2,General delegation request without urgency
88,1,"Informational tip, no action required"
89,1,Promotional spam with no required action
90,2,Sender is resending an attachment and likely expects a response
91,1,Informational FYI with no action required
92,1,"Forwarded informational email, no action required"
93,2,Needs clarification response but not urgent
94,1,"Promotional spam, no action needed"
95,1,Informational event reminder with no required response
96,3,Potential virus alert requires immediate attention
97,1,Informational newsletter with no required action
98,1,Email appears to be informational with no clear action required
99,1,Informational announcement with no required action
100,1,"Forwarded email lacks actionable request, likely informational"
101,2,Decision needed on co-chair role
102,1,"Informational news article, no action required"
104,1,"Informational announcement about a print sale, no action required"
105,2,Request for action but no urgent deadline
106,2,"Request for program details and inquiry, requires response but not urgent"
107,1,"Informational travel reminder, no response required"
108,1,"Promotional spam, no action required"
110,2,Data request needs response but no urgent deadline
111,2,"Invitation to go kayaking, needs a reply but not urgent"
115,2,Suggestion requires a response but is not urgent
117,1,Forwarded message appears informational with no clear action required
118,1,"Spam promotional email, no action needed"
119,1,Promotional email with no required action
120,1,Informational update about a Senate hearing
121,1,"Promotional content, no action required"
123,1,"Promotional travel deals, no action required"
124,1,FYI informational update with no required action
125,1,Marketing newsletter with no required action
126,1,"Informational announcement about a bowling event, no urgent action required"
127,2,"Request for fax machine selection, needs a response but not urgent"
128,3,Urgent deadline requires immediate timesheet approval
129,1,"Informational newsletter, no action needed"
130,1,Informational forward with no required action
131,1,"Friendly update, no action needed"
132,2,Contains a request for action but no urgent deadline
133,1,"Contains only news updates, no action required"
134,3,Deadline requires action by Oct 26
135,1,"Informational conference announcement, no action required"
138,1,Forwarded email appears informational with no clear action required
140,1,"Informational weekly report, no action required"
141,2,Needs response to discuss trip plans
143,2,Needs coordination for release schedule
145,1,Email contains no actionable request or urgent information
146,1,"Informational email about billing assumptions, no action required"
147,1,"Informational sports update, no action required"
148,1,Informational update with no required action
149,2,Contains actionable concern about production estimates
150,1,Informational email about a domain change
151,2,Follow-up on pending action items requires a response
152,1,Promotional email with no required action
153,1,"Contains only forwarded content and advertisement, no actionable request"
155,1,"Informational newsletter, no action required"
156,2,Request for payment reminder by Monday
157,1,Forwarded image with no actionable request
158,1,"Promotional spam, no action required"
159,2,"Request for ideas and assistance, not time-sensitive"
160,2,Schedule confirmation and coordination needed
161,2,Upgrade announcement contains deadlines requiring user action
162,1,Promotional spam with no required action
164,3,Potential terrorist threat requires immediate attention
165,1,Informational marketing content with no required action
166,2,Needs correction before Friday deadline
167,1,"Informational newsletter, no action required"
168,1,"Informational newsletter, no action required"
169,2,The email requests a response regarding the eCommerce working group
171,1,It's a newsletter with no actionable request
172,2,Needs response to confirm title
173,1,It's an informational newsletter with no required action
174,1,"Promotional spam, no action required"
175,2,Question about account application details requires a response
176,2,Requires timely response to meet voting deadline
177,2,Needs response and discussion before Friday deadline
178,1,Clarification with no required action
179,3,Medical alert indicates urgent attention
180,1,Informal message with no actionable request
181,1,Spam advertisement with no actionable request
182,1,Email contains only news snippets with no actionable request
184,1,Informational daily report with no required action
185,2,Needs coordination to handle incoming pipeline inquiries
186,3,Schedule download failed and requires immediate manual intervention
187,1,Informational news with no required action
188,2,Request asks for a response but has no urgent deadline
189,1,"Informational news summary, no action required"
190,1,Contains responses and no urgent action required
191,1,Email confirms bug fix and requires no further action
193,1,The email contains a joke and requires no action
194,1,Informational news update with no required action
195,1,Forwarded personal email with no actionable request
196,1,"Email contains no actionable request, only a comment"
197,1,"Informational news digest, no action needed"
198,1,"Informational invitation, no action required"
199,1,"Informational newsletter, no action required"
200,2,Request for a change but no urgent deadline
201,2,Needs to invite a person but not urgent
204,1,"Email contains no actionable request, only commentary"
205,1,Informational update with no required action
206,1,"Promotional ticket offer, no urgent action required"
207,3,Meeting scheduled for today requires immediate attention
208,1,Informational content with no required action
209,2,Contains a question needing a response but not urgent
210,1,Informational news with no required action
212,1,"Order confirmation email, no action needed"
213,1,"Informational update about proposals, no immediate action needed"
216,2,Requires a response but not urgent
217,3,Urgent due diligence required for closing
218,1,FYI message with no required action
220,1,Promotional email with no required action
221,1,"Sender explicitly asks to ignore, no action required"
222,1,"Spam advertisement, no action required"
223,1,"Promotional seminar announcement, no action required"
224,1,Informational newsletter with no required action
226,1,Informational email with no urgent action required
227,2,Needs acknowledgment and accounting update but not urgent
228,2,Request for clarification on cost estimates requiring a response
229,1,"Informational newsletter, no action required"
230,1,"Bounce notification, no action required"
232,1,"Promotional deal alert, no action required"
234,1,Promotional reward email with no required action
235,1,"Informational forward about a party, no action required"
236,3,Urgent request for an immediate phone call
237,1,"Newsletter with stock info, no action required"
238,1,"Informational newsletter, no action required"
239,2,Request for response but no urgent deadline
240,1,"Informational registration confirmation, no action required"
241,1,"No actionable request, just a scheduling note"
242,1,Promotional email with no required action
243,1,Informational announcement with no required action
244,1,Forwarded informational email with no clear action required
245,2,"Meeting request to debrief, needs response but not urgent"
246,1,Spam marketing email with no actionable request
247,3,Pending legal approvals for many entities require urgent action
248,1,Promotional email with no required action
250,1,The email is a forwarded message with no clear action required
251,2,Needs response to confirm remote attendance
252,1,"Just a thank‑you note, no action required"
254,2,"Sender indicates unavailability and suggests meeting proceed, requiring response"
255,2,Technical issue requiring clarification but not urgent
256,1,"Just a suggestion, no action required"
258,1,Informational reminder with no required response
259,2,Social invitation that needs a reply but is not urgent
260,1,"Informational stock news alert, no action required"
261,1,No actionable request or urgency identified
262,1,The email is an informational archive log with no actionable request
263,1,"Informational newsletter, no action required"
264,1,"Email provides information only, no action required"
265,1,Informational update with no required action
266,1,Sarcastic comment with no clear actionable request
267,1,"Informational newsletter, no action required"
268,1,Informal message with no clear action required
269,1,Informational forward about a past meeting with no action required
270,1,"Informational announcement, no action required"
271,1,Informational announcement with no action required
272,2,Requires a response but not urgent
273,1,Informational announcement with no required action
274,1,"Informational news about hearings, no action required"
275,2,Requires response to address listed document issues
276,1,Informational FYI with no action required
277,1,Informational devotional message with no required action
278,1,Informational newsletter with no required action
284,1,Informational FYI with no required action
286,2,Needs a timely response to confirm meeting time
287,1,"Informational newsletter, no action required"
288,2,Needs clarification on deal ownership and response
289,2,Requires a response but not urgent
290,1,"Spam promotional email, no action needed"
291,1,Casual forward with no required action
293,1,Content is non-urgent and informational
294,1,"Promotional email, no action needed"
295,2,Needs response to review quotes before tomorrow
296,1,It's a press release with no actionable request
297,3,Press conference notice for today requires immediate attention
298,1,The email only contains a thank you and no actionable request
299,1,"Informational update, no action required"
300,1,"Informational comment, no action required"
301,1,"Informational newsletter, no action required"
302,1,"Informational update, no immediate action needed"
304,2,Requires action to pack boxes by a specific date
305,1,The email provides an informational update with no clear action required
306,1,Promotional content with no action required
309,1,"Spam promotional email, no action needed"
311,1,"No clear request or urgency, appears informational"
312,1,Informational clarification with no urgent action required
313,1,Email is informal with no clear actionable request
314,1,"Promotional spam, no action required"
315,2,Requires arranging a replacement but not urgent
316,3,Urgent request to set up a call today
317,1,"Friendly social invitation, no urgent action required"
318,1,It's an informational newsletter with no required action
319,2,Meeting request requires timely response
320,1,Informational email with no action required
321,1,The email appears to be a forwarded message with no clear request or urgency
323,1,Promotional spam with no actionable request
324,3,Urgent agenda for today's conference call requires immediate attention
325,1,"Informational announcement, no action required"
328,3,Schedule download failed and requires immediate manual intervention
329,1,"Marketing email, no action required"
330,1,"Sender states there is no hurry, indicating low priority"
331,1,"Promotional email, no action required"
332,2,Provides feedback requiring revisions but not urgent
333,1,Simple forwarded message with no clear action required
334,1,"Promotional event invitation, no action required"
335,1,"Promotional fare sale alert, no urgent action required"
336,1,Informational forward with no action required
337,2,Request for document revisions requiring a response but no urgent deadline
338,2,Request for access needs a response but is not urgent
339,2,Requires a response but not urgent
340,1,"Informational hoax notice, no action required"
341,3,Bill must be paid by COB 11/27 to avoid loss of market participation
342,1,"Contains only press materials, no action required"
343,3,Subject marked urgent and asks for clarification requiring immediate attention
344,1,The email contains only a brief comment with no actionable request
345,2,Provides updated tracking document requiring review
347,1,Email is a brief thank you with no required action
348,2,"Request to discuss agreement, requires response but not urgent"
349,2,Request for clarification requires a response but is not urgent
350,1,Contains only product details with no clear request
351,2,Needs review and comments under time constraints
352,1,"Informational news summary, no action required"
353,3,Contains sensitive credentials requiring immediate action
354,1,"Informational newsletter, no action required"
356,1,Email contains only contact info and a forwarded header with no actionable request
357,2,Contains a request for assistance but no immediate deadline
358,1,"Promotional travel deal email, no action required"
359,1,Informational update with no required action
360,1,Vague request with no clear action or urgency
361,1,"Promotional spam, no action required"
362,3,Meeting request for tomorrow requires immediate attention
363,1,Informational update about meeting schedule
364,1,Informational forward with no urgent action required
365,2,Follow-up on legal claim discussion requires a response
366,1,Email is informational with no clear action required
367,1,"Informational thank‑you, no action required"
369,2,"Request to resend email, requires action but not urgent"
370,1,Informational email with no required action
371,1,"Provides schedule information, no action required"
372,1,FYI message with no required action
373,1,Promotional event invitation with no urgent action required
375,2,Performance feedback request requires response
376,1,No urgent request or action needed
377,1,"Informational newsletter, no action required"
378,3,Need slides prepared by Wednesday morning
379,1,"Informational news, no action needed"
380,2,"Request for information about a deal, needs a response but not urgent"
382,1,Informational forward with no action required
383,1,Friendly catch‑up email with no actionable request
384,1,FYI update with no action required
385,2,Requires a response but not urgent
386,2,Needs coordination and response but no immediate deadline
387,1,"Unsolicited promotional email, no action required"
388,1,Heads-up with no actionable request
389,2,"User requests electronic documents, needs a response but not urgent"
390,2,Requires clarification response but not urgent
391,2,Invitation requires a response but is not urgent
392,2,Request requires assistance to finalize approval
394,2,"Needs clarification about Dave's involvement, requires a response"
395,1,"Informational update confirming the dog is safe, no action needed"
396,1,"Promotional newsletter, no action required"
397,2,"Request for review and coordination, but not urgent"
398,1,Promotional coupon email with no urgent action required
399,2,Requires action on approvals and scheduling
400,1,Newsletter with no action required
401,1,Vague informal greeting with no actionable content
402,3,Potential market manipulation allegation requires immediate investigation
404,2,Requires a response to adjust hotel room assignments
405,1,Informational forward with no action required
406,2,Requires response but not urgent
407,2,"Request to print documents, requires action but not urgent"
408,2,"Request to forward a message, needs action but not urgent"
409,1,Informational update with no required action
410,2,Business partnership proposal requiring a response
412,1,"Informational notice about travel, no action needed"
413,1,Promotional invitation with no required action
